task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,rows,patients,folds,fold_count
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,ftv,,T1→T2,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,ftv,,T2→T3,single_output_ridge,9,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,ld,,T0→T1,single_output_ridge,9,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,ld,,T1→T2,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,ld,,T2→T3,single_output_ridge,9,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,sphericity,,T0→T1,single_output_ridge,9,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,sphericity,,T1→T2,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,current_only,sphericity,,T2→T3,single_output_ridge,9,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,bpe,,T0→T1,single_output_ridge,27,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,bpe,,T1→T2,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,bpe,,T2→T3,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ftv,,T0→T1,single_output_ridge,27,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ftv,,T1→T2,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ftv,,T2→T3,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ld,,T0→T1,single_output_ridge,27,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ld,,T1→T2,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,ld,,T2→T3,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,sphericity,,T0→T1,single_output_ridge,27,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,sphericity,,T1→T2,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_combined,sphericity,,T2→T3,single_output_ridge,27,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,bpe,,T0→T1,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,bpe,,T1→T2,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,bpe,,T2→T3,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T0→T1,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T1→T2,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ftv,,T2→T3,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T0→T1,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T1→T2,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,ld,,T2→T3,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T0→T1,single_output_ridge,9,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T1→T2,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,bpe,,T0→T1,single_output_ridge,18,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,bpe,,T1→T2,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,bpe,,T2→T3,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ftv,,T0→T1,single_output_ridge,18,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ftv,,T1→T2,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ftv,,T2→T3,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ld,,T0→T1,single_output_ridge,18,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ld,,T1→T2,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,ld,,T2→T3,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,sphericity,,T0→T1,single_output_ridge,18,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,sphericity,,T1→T2,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_pair,sphericity,,T2→T3,single_output_ridge,18,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,bpe,,T0→T1,single_output_ridge,14,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,bpe,,T1→T2,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,bpe,,T2→T3,single_output_ridge,14,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ftv,,T0→T1,single_output_ridge,14,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ftv,,T1→T2,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ftv,,T2→T3,single_output_ridge,14,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ld,,T0→T1,single_output_ridge,14,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ld,,T1→T2,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,ld,,T2→T3,single_output_ridge,14,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,sphericity,,T0→T1,single_output_ridge,14,375,375,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,sphericity,,T1→T2,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,current_only,sphericity,,T2→T3,single_output_ridge,14,369,369,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,bpe,,T0→T1,single_output_ridge,42,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,bpe,,T1→T2,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,bpe,,T2→T3,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ftv,,T0→T1,single_output_ridge,42,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ftv,,T1→T2,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ftv,,T2→T3,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ld,,T0→T1,single_output_ridge,42,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ld,,T1→T2,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,ld,,T2→T3,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,sphericity,,T0→T1,single_output_ridge,42,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,sphericity,,T1→T2,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_combined,sphericity,,T2→T3,single_output_ridge,42,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,bpe,,T0→T1,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,bpe,,T1→T2,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,bpe,,T2→T3,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T1→T2,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T2→T3,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ld,,T0→T1,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ld,,T1→T2,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ld,,T2→T3,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,sphericity,,T0→T1,single_output_ridge,14,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,sphericity,,T1→T2,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,sphericity,,T2→T3,single_output_ridge,14,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,bpe,,T0→T1,single_output_ridge,28,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,bpe,,T1→T2,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,bpe,,T2→T3,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ftv,,T0→T1,single_output_ridge,28,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ftv,,T1→T2,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ftv,,T2→T3,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ld,,T0→T1,single_output_ridge,28,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ld,,T1→T2,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,ld,,T2→T3,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,sphericity,,T0→T1,single_output_ridge,28,372,372,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,sphericity,,T1→T2,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_pair,sphericity,,T2→T3,single_output_ridge,28,368,368,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,bpe,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,bpe,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,bpe,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ftv,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ftv,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ftv,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ld,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ld,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,ld,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,sphericity,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,sphericity,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,current_only,sphericity,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,bpe,,T0→T1,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,bpe,,T1→T2,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,bpe,,T2→T3,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ftv,,T0→T1,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ftv,,T1→T2,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ftv,,T2→T3,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ld,,T0→T1,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ld,,T1→T2,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,ld,,T2→T3,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,sphericity,,T0→T1,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,sphericity,,T1→T2,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_combined,sphericity,,T2→T3,single_output_ridge,384,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,bpe,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,bpe,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,bpe,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ftv,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ftv,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ftv,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ld,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ld,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,ld,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,sphericity,,T0→T1,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,sphericity,,T1→T2,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_difference,sphericity,,T2→T3,single_output_ridge,128,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,bpe,,T0→T1,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,bpe,,T1→T2,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,bpe,,T2→T3,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,ftv,,T0→T1,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,ftv,,T1→T2,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,ftv,,T2→T3,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,ld,,T0→T1,single_output_ridge,256,375,375,"0,1,2,3,4",5
change,m0,m0_final,online,online_global_pool,global_pool,observed_pair,ld,,T1→T2,single_output_ridge,256,375,375,"0,1,2,3,4",5
